"","sitename","region_code","allocated","nyrs","firstyear","lastyear","layer","edge_density","largest_patch_index","patch_density","patch_richness_density","dominant_habitat","largest_patch_habitat","largest_patch_perimarea","mean_patch_perimarea","dominant_largest_same"
"6912","NS8047","LANA","Y",12,2007,2024,"lcm_2019",56.2258314,23.60788863,6.18716164,1.856148492,"Improved grassland","Coniferous woodland",0.007403767,0.037927656,0
"6922","NS8182","CENT","Y",27,1994,2024,"lcm_2019",58.93271462,53.6929621,10.82753287,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.005387108,0.056746877,1
"6926","NS8279","CENT","Y",24,1997,2024,"lcm_2019",78.65429234,41.20262954,10.82753287,1.54679041,"Built-up areas and gardens","Built-up areas and gardens",0.012763961,0.043796185,1
"6937","NS8353","LANA","Y",17,2007,2024,"lcm_2019",43.387471,89.63650425,7.115235886,1.54679041,"Improved grassland","Improved grassland",0.006764452,0.067345621,1
"6946","NS8369","LANA","Y",2,2009,2014,"lcm_2019",66.66666667,48.12451663,8.971384377,2.165506574,"Mountain, heath and bog","Mountain, heath and bog",0.009546002,0.042107709,1
"6954","NS8405","DUMF","Y",5,2007,2024,"lcm_2019",57.30858469,38.20572312,5.259087394,1.856148492,"Improved grassland","Improved grassland",0.008704453,0.05756607,1
"6964","NS8486","CENT","Y",17,2006,2024,"lcm_2019",56.14849188,51.99149265,8.352668213,1.237432328,"Arable","Arable",0.007140201,0.064242812,1
"6966","NS8579","CENT","Y",21,1998,2024,"lcm_2019",51.50812065,38.78576953,4.64037123,1.54679041,"Broadleaf woodland","Broadleaf woodland",0.00889332,0.047067349,1
"6979","NS8582","CENT","Y",28,1994,2024,"lcm_2019",58.39133797,54.17633411,7.733952049,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.007251963,0.045636838,1
"6985","NS8698","CENT","Y",13,2011,2024,"lcm_2019",10.90487239,93.4841454,1.54679041,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.003143744,0.051429149,1
"6988","NS8699","CENT","Y",25,1997,2024,"lcm_2019",0,100,0.309358082,0.309358082,"Semi-natural grassland","Semi-natural grassland",0.002474865,0.002474865,1
"6997","NS8717","DUMF","Y",10,2002,2024,"lcm_2019",0,100,0.309358082,0.309358082,"Semi-natural grassland","Semi-natural grassland",0.002474865,0.002474865,1
"7006","NS8784","CENT","Y",6,2019,2024,"lcm_2019",51.12142305,39.79118329,6.805877804,0.928074246,"Arable","Built-up areas and gardens",0.008979592,0.050670748,0
"7009","NS8989","CENT","Y",29,1994,2024,"lcm_2019",46.45892351,56.03399433,5.439093484,2.266288952,"Arable","Arable",0.008088979,0.037994571,1
"7016","NS8994","CENT","Y",14,2009,2024,"lcm_2019",62.87703016,47.50580046,9.590100541,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.007488807,0.06178763,1
"7026","NS9076","LOTH","Y",16,2000,2024,"lcm_2019",72.85382831,21.51972158,8.662026295,1.54679041,"Improved grassland","Improved grassland",0.014016173,0.047366957,1
"7029","NS9273","LOTH","Y",15,2007,2022,"lcm_2019",46.7904099,71.2103635,7.115235886,1.54679041,"Improved grassland","Improved grassland",0.006929134,0.052433444,1
"7039","NS9287","CENT","Y",5,2019,2024,"lcm_2019",56.88487585,27.73702032,8.126410835,1.805869074,"Coastal","Coastal",0.009603255,0.04866632,1
"7050","NS9523","LANA","Y",5,2007,2021,"lcm_2019",10.82753287,94.37354988,1.237432328,0.618716164,"Semi-natural grassland","Semi-natural grassland",0.003294407,0.026179709,1
"7069","NS9787","CENT","Y",29,1994,2024,"lcm_2019",46.48105182,47.69914927,6.805877804,1.54679041,"Arable","Arable",0.008496149,0.066211874,1
"7073","NS9895","CENT","Y",24,1997,2024,"lcm_2019",92.11136891,33.39133797,13.61175561,1.54679041,"Improved grassland","Improved grassland",0.013572669,0.057594026,1
"7081","NS9935","LANA","Y",9,2007,2021,"lcm_2019",56.612529,79.07965971,6.18716164,1.856148492,"Improved grassland","Improved grassland",0.009212714,0.048130292,1
"7088","NS9986","CENT","Y",19,2005,2024,"lcm_2019",65.42923434,43.81283836,7.424593968,1.54679041,"Arable","Arable",0.007590468,0.042637457,1
"7093","NT0076","LOTH","Y",7,2016,2023,"lcm_2019",44.00618716,42.82675947,7.424593968,1.54679041,"Built-up areas and gardens","Built-up areas and gardens",0.007476298,0.046984353,1
"7105","NT0087","FIFE","Y",23,2001,2024,"lcm_2019",61.17556071,49.8066512,7.115235886,1.237432328,"Arable","Arable",0.009720497,0.053236131,1
"7109","NT0088","FIFE","Y",20,2005,2024,"lcm_2019",52.12683681,39.90719258,4.949729312,1.237432328,"Arable","Arable",0.008372093,0.03347758,1
"7120","NT0097","FIFE","Y",12,2009,2021,"lcm_2019",78.03557618,33.77803558,8.043310131,1.54679041,"Improved grassland","Improved grassland",0.011219233,0.042581687,1
"7130","NT0210","BORD","Y",9,2007,2024,"lcm_2019",9.280742459,64.21113689,0.618716164,0.618716164,"Semi-natural grassland","Semi-natural grassland",0.003998796,0.004462931,1
"7136","NT0244","LANA","Y",10,1994,2021,"lcm_2019",52.35885538,82.26991493,6.496519722,1.54679041,"Improved grassland","Improved grassland",0.008385429,0.055314853,1
"7145","NT0275","LOTH","Y",3,2019,2024,"lcm_2019",46.10326823,65.80932121,5.569522336,1.23767163,"Arable","Arable",0.008721716,0.054043828,1
"7160","NT0338","BORD","Y",6,2018,2024,"lcm_2019",31.63186388,85.42150039,5.877803558,1.54679041,"Improved grassland","Improved grassland",0.00545043,0.062753996,1
"7166","NT0398","FIFE","Y",26,1996,2024,"lcm_2019",26.99149265,91.35730858,4.949729312,1.237432328,"Improved grassland","Improved grassland",0.005079365,0.065334164,1
"7173","NT0455","LOTH","Y",6,2013,2024,"lcm_2019",33.48801237,83.89404486,5.259087394,1.856148492,"Mountain, heath and bog","Mountain, heath and bog",0.005070293,0.051821483,1
"7182","NT0492","FIFE","Y",10,2007,2024,"lcm_2019",41.22196442,67.86542923,5.877803558,2.165506574,"Improved grassland","Improved grassland",0.006450142,0.047386696,1
"7206","NT0653","LOTH","Y",10,2014,2024,"lcm_2019",0,100,0.309358082,0.309358082,"Mountain, heath and bog","Mountain, heath and bog",0.002474865,0.002474865,1
"7218","NT0670","LOTH","Y",3,2016,2024,"lcm_2019",84.30007734,33.89404486,7.733952049,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.011682829,0.036682153,1
"7223","NT0686","FIFE","Y",27,1997,2024,"lcm_2019",58.31399845,23.78190255,5.877803558,1.237432328,"Arable","Built-up areas and gardens",0.010861789,0.033355139,0
"7227","NT0749","LANA","Y",8,2007,2022,"lcm_2019",33.48801237,46.55839134,3.09358082,1.54679041,"Mountain, heath and bog","Mountain, heath and bog",0.005681063,0.041465482,1
"7240","NT0772","LOTH","Y",5,2013,2024,"lcm_2019",43.61948956,57.34725445,4.949729312,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.005475388,0.045572925,1
"7241","NT0773","LOTH","Y",16,1994,2022,"lcm_2019",66.51198763,54.25367363,7.115235886,1.237432328,"Arable","Arable",0.009465431,0.044048642,1
"7263","NT0860","LOTH","Y",8,2013,2024,"lcm_2019",50.73472544,43.6774942,6.18716164,1.856148492,"Mountain, heath and bog","Mountain, heath and bog",0.006976538,0.0440636,1
"7271","NT0903","DUMF","Y",22,1995,2024,"lcm_2019",74.7099768,73.35653519,10.51817479,1.237432328,"Improved grassland","Improved grassland",0.010859251,0.055623413,1
"7274","NT0971","LOTH","Y",9,2015,2024,"lcm_2019",48.10518175,72.3704563,6.496519722,1.54679041,"Arable","Arable",0.007202779,0.058095408,1
"7290","NT0997","FIFE","Y",4,2018,2022,"lcm_2019",73.39520495,28.75096674,8.662026295,2.474864656,"Improved grassland","Improved grassland",0.016301278,0.041912718,1
"7294","NT1087","FIFE","Y",12,2009,2024,"lcm_2019",9.048723898,96.22969838,1.54679041,0.928074246,"Built-up areas and gardens","Built-up areas and gardens",0.003375527,0.038756977,1
"7302","NT1089","FIFE","Y",9,2016,2024,"lcm_2019",75.63805104,16.2412993,10.20881671,1.54679041,"Improved grassland","Broadleaf woodland",0.012571429,0.03987572,0
"7313","NT1170","LOTH","Y",20,1995,2024,"lcm_2019",43.92884764,71.5970611,6.496519722,1.237432328,"Arable","Arable",0.005638671,0.056712475,1
"7322","NT1196","FIFE","Y",17,2005,2024,"lcm_2019",45.55297757,38.97911833,5.568445476,1.856148492,"Coniferous woodland","Coniferous woodland",0.005793651,0.037553483,1
"7325","NT1211","BORD","Y",6,2007,2024,"lcm_2019",7.424593968,96.42304718,0.618716164,0.618716164,"Semi-natural grassland","Semi-natural grassland",0.003336675,0.012046716,1
"7337","NT1296","FIFE","Y",16,2007,2023,"lcm_2019",61.09822119,50.83139985,7.733952049,1.856148492,"Improved grassland","Improved grassland",0.009494104,0.049223545,1
"7339","NT1385","FIFE","Y",25,1999,2024,"lcm_2019",68.83217324,32.96597061,8.971384377,1.237432328,"Arable","Built-up areas and gardens",0.006240469,0.045318741,0
"7349","NT1394","FIFE","Y",17,2007,2024,"lcm_2019",62.72235112,39.32714617,7.115235886,1.54679041,"Built-up areas and gardens","Built-up areas and gardens",0.009242871,0.045068245,1
"7361","NT1475","LOTH","Y",20,2004,2024,"lcm_2019",42.92343387,82.09590101,6.18716164,1.54679041,"Arable","Arable",0.005897315,0.059576208,1
"7366","NT1526","BORD","Y",8,2007,2024,"lcm_2019",11.21423047,80.51044084,1.237432328,0.618716164,"Mountain, heath and bog","Mountain, heath and bog",0.003439001,0.03606767,1
"7370","NT1549","BORD","Y",18,1994,2024,"lcm_2019",55.60711524,82.96597061,7.733952049,1.856148492,"Improved grassland","Improved grassland",0.00807271,0.060578709,1
"7381","NT1569","LOTH","Y",5,2019,2024,"lcm_2019",73.54988399,32.84996133,9.590100541,1.237432328,"Arable","Arable",0.009699823,0.069835647,1
"7389","NT1576","LOTH","Y",6,2014,2024,"lcm_2019",49.11059551,36.92962104,6.805877804,1.54679041,"Arable","Arable",0.008167539,0.048761692,1
"7408","NT1596","FIFE","Y",29,1994,2024,"lcm_2019",72.15777262,45.32095901,6.496519722,2.165506574,"Improved grassland","Improved grassland",0.011399317,0.041606848,1
"7414","NT1668","LOTH","Y",7,2017,2024,"lcm_2019",67.05336427,50.21268368,8.971384377,1.237432328,"Arable","Arable",0.00890258,0.052846459,1
"7421","NT1759","LOTH","Y",12,2012,2024,"lcm_2019",27.30085073,87.89636504,3.712296984,1.54679041,"Semi-natural grassland","Semi-natural grassland",0.004874615,0.068199647,1
"7430","NT1760","LOTH","Y",25,1994,2024,"lcm_2019",24.28460944,53.82830626,3.09358082,1.237432328,"Mountain, heath and bog","Mountain, heath and bog",0.004827586,0.048144465,1
"7437","NT1765","LOTH","Y",5,2014,2024,"lcm_2019",56.92188708,40.3712297,9.590100541,2.165506574,"Arable","Arable",0.005019157,0.065038929,1
"7448","NT1845","BORD","Y",15,2008,2024,"lcm_2019",7.347254447,74.9033256,0.618716164,0.618716164,"Semi-natural grassland","Semi-natural grassland",0.003283428,0.004600112,1
"7453","NT1960","LOTH","Y",25,1994,2023,"lcm_2019",33.56535189,83.17865429,7.733952049,1.856148492,"Semi-natural grassland","Semi-natural grassland",0.004258484,0.064921345,1
"7463","NT2048","BORD","Y",17,1994,2024,"lcm_2019",10.59551431,85.53750967,1.856148492,0.928074246,"Coniferous woodland","Coniferous woodland",0.003200723,0.04999385,1
"7466","NT2148","BORD","Y",4,2016,2024,"lcm_2019",21.03634957,56.74787316,1.856148492,1.237432328,"Coniferous woodland","Coniferous woodland",0.004633731,0.034554819,1
"7475","NT2259","LOTH","Y",29,1994,2024,"lcm_2019",75.0966744,39.15313225,8.971384377,1.856148492,"Broadleaf woodland","Broadleaf woodland",0.013985185,0.052627019,1
"7486","NT2357","LOTH","Y",8,2013,2024,"lcm_2019",60.32482599,50.27068832,8.662026295,1.856148492,"Improved grassland","Improved grassland",0.009292308,0.064309304,1
"7492","NT2367","LOTH","Y",7,2016,2024,"lcm_2019",59.6287703,32.11523589,7.115235886,1.54679041,"Improved grassland","Improved grassland",0.008910295,0.04039853,1
"7499","NT2369","LOTH","Y",20,2005,2024,"lcm_2019",29.07965971,84.74477958,4.331013148,0.928074246,"Built-up areas and gardens","Built-up areas and gardens",0.004964636,0.049614254,1
"7506","NT2370","LOTH","Y",17,2006,2024,"lcm_2019",40.29389018,79.79505027,3.402938902,0.928074246,"Built-up areas and gardens","Built-up areas and gardens",0.006803974,0.034654573,1
"7520","NT2454","LOTH","Y",5,2016,2023,"lcm_2019",43.54215004,38.39907193,4.949729312,1.237432328,"Improved grassland","Improved grassland",0.007613293,0.048334588,1
"7528","NT2466","LOTH","Y",12,2013,2024,"lcm_2019",60.78886311,38.07037896,6.496519722,2.165506574,"Semi-natural grassland","Semi-natural grassland",0.00686643,0.04085958,1
"7538","NT2474","LOTH","Y",16,2005,2024,"lcm_2019",32.63727765,85.18948183,5.259087394,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.006028143,0.056540639,1
"7553","NT2554","LOTH","Y",9,2008,2024,"lcm_2019",43.7741686,48.56921887,3.402938902,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.008566879,0.043901963,1
"7562","NT2644","BORD","Y",17,2007,2024,"lcm_2019",18.32946636,48.93658159,1.856148492,0.928074246,"Coniferous woodland","Coniferous woodland",0.004014224,0.026861004,1
"7572","NT2651","LOTH","Y",7,2013,2024,"lcm_2019",62.02629544,53.05491106,6.496519722,1.856148492,"Mountain, heath and bog","Mountain, heath and bog",0.010174927,0.039618633,1
"7582","NT2652","LOTH","Y",23,1996,2024,"lcm_2019",30.47177108,84.45475638,4.331013148,1.237432328,"Mountain, heath and bog","Mountain, heath and bog",0.004761905,0.04847929,1
"7588","NT2657","LOTH","Y",6,2016,2023,"lcm_2019",54.98839907,77.64887858,6.805877804,1.856148492,"Improved grassland","Improved grassland",0.007888446,0.062642819,1
"7594","NT2675","LOTH","Y",17,1999,2024,"lcm_2019",7.579273009,97.04176334,1.856148492,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.003028492,0.049207535,1
"7600","NT2686","FIFE","Y",28,1994,2024,"lcm_2019",59.71988796,39.24369748,6.722689076,2.68907563,"Built-up areas and gardens","Built-up areas and gardens",0.009821556,0.060792637,1
"7609","NT2687","FIFE","Y",30,1994,2024,"lcm_2019",67.60015558,43.54336834,8.401400233,1.86697783,"Arable","Arable",0.011076373,0.051584732,1
"7617","NT2690","FIFE","Y",27,1994,2024,"lcm_2019",73.16318639,20.08894045,8.662026295,1.54679041,"Arable","Broadleaf woodland",0.015861405,0.049535856,0
"7621","NT2795","FIFE","Y",18,1996,2023,"lcm_2019",55.52977572,63.90177881,7.115235886,1.237432328,"Arable","Arable",0.006075643,0.057420073,1
"7635","NT2847","BORD","Y",17,1998,2024,"lcm_2019",19.33488012,62.04563032,1.237432328,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.004437519,0.047565159,1
"7645","NT2862","LOTH","Y",15,2004,2024,"lcm_2019",64.50116009,32.69528229,8.352668213,1.237432328,"Arable","Arable",0.007427558,0.049600976,1
"7650","NT2895","FIFE","Y",19,2006,2024,"lcm_2019",68.75483372,38.41840681,9.899458623,1.237432328,"Arable","Arable",0.008535481,0.048127992,1
"7653","NT2972","LOTH","Y",7,2014,2024,"lcm_2019",45.86233565,70.92034029,5.877803558,1.54679041,"Built-up areas and gardens","Built-up areas and gardens",0.007022901,0.050309153,1
"7664","NT3067","LOTH","Y",11,1994,2024,"lcm_2019",70.61098221,41.78267595,8.971384377,1.237432328,"Arable","Arable",0.009773253,0.050121426,1
"7668","NT3069","LOTH","Y",11,2007,2019,"lcm_2019",73.16318639,45.90100541,8.043310131,1.237432328,"Arable","Arable",0.012771693,0.050768515,1
"7682","NT3332","BORD","Y",29,1994,2024,"lcm_2019",28.3062645,43.15545244,2.784222738,1.54679041,"Semi-natural grassland","Semi-natural grassland",0.006917563,0.034784264,1
"7686","NT3471","LOTH","Y",11,2013,2024,"lcm_2019",74.55529776,37.81902552,6.496519722,1.237432328,"Built-up areas and gardens","Built-up areas and gardens",0.011860941,0.040843409,1
"7696","NT3539","BORD","Y",12,2007,2024,"lcm_2019",27.30085073,43.27146172,2.165506574,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.005183199,0.043247717,1
"7711","NT3549","LOTH","Y",22,1994,2024,"lcm_2019",23.20185615,47.73781903,1.856148492,0.618716164,"Semi-natural grassland","Mountain, heath and bog",0.006577562,0.027626352,0
"7714","NT3567","LOTH","Y",18,1997,2024,"lcm_2019",53.67362722,62.91569992,5.259087394,1.237432328,"Arable","Arable",0.008850645,0.052853734,1
"7723","NT3668","LOTH","Y",7,2013,2024,"lcm_2019",64.42382057,63.59242073,8.352668213,1.237432328,"Arable","Arable",0.008075403,0.042163052,1
"7731","NT3673","LOTH","Y",8,2014,2024,"lcm_2019",66.49930265,28.75871688,5.80195258,2.231520223,"Built-up areas and gardens","Built-up areas and gardens",0.014122211,0.03867172,1
"7737","NT3747","LOTH","Y",7,2011,2024,"lcm_2019",13.07037896,79.50502707,1.237432328,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.00348249,0.028185462,1
"7746","NT3809","BORD","Y",25,1995,2024,"lcm_2019",44.47022428,61.13689095,4.949729312,1.54679041,"Semi-natural grassland","Semi-natural grassland",0.004807084,0.040628591,1
"7752","NT3863","LOTH","Y",10,2013,2024,"lcm_2019",67.36272235,36.23356535,8.352668213,1.237432328,"Arable","Arable",0.0060619,0.051274782,1
"7762","NT3871","LOTH","Y",6,2014,2024,"lcm_2019",18.56148492,86.11755607,2.474864656,0.928074246,"Arable","Arable",0.004346655,0.042915121,1
"7766","NT3967","LOTH","Y",5,2019,2024,"lcm_2019",44.85692189,73.72389791,5.877803558,1.237432328,"Arable","Arable",0.006000525,0.045210401,1
"7774","NT4050","LOTH","Y",9,2015,2024,"lcm_2019",32.94663573,82.23124517,5.259087394,1.237432328,"Semi-natural grassland","Semi-natural grassland",0.006320245,0.073006469,1
"7787","NT4272","LOTH","Y",5,2017,2024,"lcm_2019",22.50580046,89.53982985,4.021655066,1.237432328,"Arable","Arable",0.004405096,0.047582514,1
"7798","NT4301","BORD","Y",6,2017,2024,"lcm_2019",16.47331787,53.42227378,0.928074246,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.005559175,0.011556904,1
"7802","NT4350","LOTH","Y",15,1994,2024,"lcm_2019",48.87857695,50.50270688,6.805877804,1.856148492,"Semi-natural grassland","Semi-natural grassland",0.008024502,0.06317926,1
"7813","NT4359","LOTH","Y",10,2011,2024,"lcm_2019",58.77803558,41.62799691,6.18716164,1.54679041,"Mountain, heath and bog","Mountain, heath and bog",0.006019508,0.034016614,1
"7819","NT4428","BORD","Y",15,2007,2024,"lcm_2019",88.39907193,24.72931168,7.424593968,1.856148492,"Improved grassland","Improved grassland",0.013010164,0.053259228,1
"7840","NT4465","LOTH","Y",10,2014,2024,"lcm_2019",53.36426914,61.38824439,6.496519722,1.237432328,"Arable","Arable",0.00871811,0.056613698,1
"7846","NT4559","LOTH","Y",18,1994,2024,"lcm_2019",73.54988399,29.23433875,9.280742459,2.165506574,"Improved grassland","Improved grassland",0.011322751,0.051167919,1
"7852","NT4575","LOTH","Y",29,1994,2024,"lcm_2019",23.89791183,95.20494973,3.402938902,0.928074246,"Arable","Arable",0.004841592,0.061718943,1
"7861","NT4638","BORD","Y",11,2007,2024,"lcm_2019",90.5645785,18.387471,9.590100541,1.856148492,"Improved grassland","Improved grassland",0.014300736,0.039141258,1
"7872","NT4672","LOTH","Y",21,1996,2024,"lcm_2019",66.12529002,62.21964424,8.352668213,1.237432328,"Arable","Arable",0.010192666,0.046160458,1
"7883","NT4704","BORD","Y",8,2014,2024,"lcm_2019",34.41608662,70.30162413,5.259087394,1.54679041,"Semi-natural grassland","Semi-natural grassland",0.005720572,0.055625623,1
"7888","NT4705","BORD","Y",24,1996,2024,"lcm_2019",33.10131477,68.1941222,3.402938902,1.237432328,"Semi-natural grassland","Semi-natural grassland",0.005489084,0.047005295,1
"7893","NT4940","LOTH","Y",12,2007,2024,"lcm_2019",28.53828306,51.93348801,2.784222738,1.237432328,"Semi-natural grassland","Semi-natural grassland",0.00622487,0.035648392,1
"7900","NT4971","LOTH","Y",11,2013,2024,"lcm_2019",29.69837587,92.67208043,4.64037123,0.928074246,"Arable","Arable",0.005508033,0.07571953,1
"7908","NT5065","LOTH","Y",6,2013,2024,"lcm_2019",38.82443929,74.7099768,5.568445476,1.237432328,"Arable","Arable",0.006356108,0.050238149,1
"7917","NT5070","LOTH","Y",9,2013,2023,"lcm_2019",37.43232792,84.28074246,3.09358082,1.237432328,"Arable","Arable",0.006496903,0.045477092,1
"7926","NT5071","LOTH","Y",19,2004,2024,"lcm_2019",54.36968291,70.76566125,7.424593968,1.237432328,"Arable","Arable",0.006819672,0.058963937,1
"7933","NT5151","BORD","Y",22,1994,2024,"lcm_2019",47.09976798,53.38360402,4.949729312,1.54679041,"Improved grassland","Improved grassland",0.009214053,0.064383506,1
"7940","NT5171","LOTH","Y",13,2009,2023,"lcm_2019",66.89868523,39.21113689,7.115235886,1.237432328,"Arable","Arable",0.00887574,0.05309277,1
"7949","NT5201","BORD","Y",8,2007,2024,"lcm_2019",14.92652746,95.63031709,2.784222738,0.928074246,"Coniferous woodland","Coniferous woodland",0.00386575,0.059721612,1
"7955","NT5229","BORD","Y",18,1996,2024,"lcm_2019",59.6287703,75.92807425,8.662026295,2.165506574,"Improved grassland","Improved grassland",0.009309906,0.062651059,1
"7957","NT5271","LOTH","Y",25,1994,2024,"lcm_2019",42.22737819,82.15390565,6.18716164,1.237432328,"Arable","Arable",0.006627442,0.055360015,1
"7969","NT5334","BORD","Y",26,1994,2023,"lcm_2019",92.03402939,14.65583913,13.61175561,1.237432328,"Improved grassland","Improved grassland",0.01530343,0.056019854,1
"7973","NT5365","LOTH","Y",11,2013,2024,"lcm_2019",54.52436195,48.06651199,5.568445476,0.928074246,"Improved grassland","Improved grassland",0.008978278,0.050766413,1
"7985","NT5458","BORD","Y",10,2015,2024,"lcm_2019",28.38360402,83.6620263,1.54679041,0.618716164,"Mountain, heath and bog","Mountain, heath and bog",0.005084354,0.05936988,1
"7992","NT5459","BORD","Y",15,2007,2024,"lcm_2019",12.0649652,95.01160093,0.928074246,0.618716164,"Mountain, heath and bog","Mountain, heath and bog",0.003614164,0.031785366,1
"7993","NT5725","BORD","Y",12,2013,2024,"lcm_2019",69.21887084,39.55916473,8.971384377,1.237432328,"Arable","Arable",0.010596285,0.057697213,1
"8012","NT5764","LOTH","Y",19,2005,2024,"lcm_2019",28.61562258,48.31786543,3.712296984,1.54679041,"Mountain, heath and bog","Mountain, heath and bog",0.005442177,0.064739977,1
"8014","NT5776","LOTH","Y",26,1994,2023,"lcm_2019",40.29389018,88.24439288,5.259087394,1.237432328,"Arable","Arable",0.006468011,0.057406334,1
"8026","NT5821","BORD","Y",11,2013,2024,"lcm_2019",67.74941995,22.52513534,5.877803558,1.856148492,"Arable","Arable",0.007690987,0.036190883,1
"8030","NT5971","LOTH","Y",15,2009,2024,"lcm_2019",92.03402939,20.30162413,12.37432328,1.237432328,"Arable","Improved grassland",0.013333333,0.05427727,0
"8039","NT5981","LOTH","Y",17,2005,2024,"lcm_2019",46.71307038,75.75406032,3.402938902,1.237432328,"Arable","Arable",0.008024502,0.040339635,1
"8045","NT6007","BORD","Y",21,1994,2024,"lcm_2019",25.98607889,51.12142305,1.856148492,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.007322239,0.055609217,1
"8052","NT6162","LOTH","Y",27,1994,2024,"lcm_2019",11.44624903,93.94818252,1.54679041,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.003194073,0.042668772,1
"8063","NT6178","LOTH","Y",7,2016,2024,"lcm_2019",34.18406806,86.65893271,4.331013148,1.237432328,"Arable","Arable",0.005783133,0.054973923,1
"8068","NT6468","LOTH","Y",10,2014,2024,"lcm_2019",6.341840681,96.22969838,0.928074246,0.618716164,"Semi-natural grassland","Semi-natural grassland",0.002636126,0.02900922,1
"8077","NT6578","LOTH","Y",26,1994,2024,"lcm_2019",41.43232855,40.66356464,3.884280801,1.618450334,"Coastal","Coastal",0.007402985,0.044674867,1
"8081","NT6661","LOTH","Y",10,2013,2024,"lcm_2019",22.42846094,88.70843001,3.712296984,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.004202267,0.045208251,1
"8090","NT6678","LOTH","Y",26,1994,2024,"lcm_2019",39.82785603,35.87636933,3.755868545,1.564945227,"Built-up areas and gardens","Built-up areas and gardens",0.009378408,0.056887542,1
"8094","NT6708","BORD","Y",8,2007,2024,"lcm_2019",50.65738592,70.26295437,6.18716164,1.54679041,"Coniferous woodland","Coniferous woodland",0.007286736,0.04997476,1
"8106","NT6878","LOTH","Y",4,2015,2024,"lcm_2019",33.82642998,53.94477318,3.550295858,1.972386588,"Built-up areas and gardens","Built-up areas and gardens",0.005703839,0.047177625,1
"8115","NT6970","LOTH","Y",25,1994,2024,"lcm_2019",64.26914153,35.57617943,8.662026295,1.856148492,"Mountain, heath and bog","Improved grassland",0.008956522,0.057868797,0
"8128","NT7011","BORD","Y",13,1994,2024,"lcm_2019",70.84300077,33.56535189,10.20881671,1.237432328,"Improved grassland","Improved grassland",0.008940092,0.056486927,1
"8136","NT7214","BORD","Y",11,1994,2024,"lcm_2019",23.66589327,63.1283836,2.165506574,1.237432328,"Coniferous woodland","Coniferous woodland",0.004679939,0.025300878,1
"8148","NT7272","LOTH","Y",3,2016,2024,"lcm_2019",73.31786543,26.41144625,7.424593968,2.165506574,"Improved grassland","Improved grassland",0.009194729,0.041225181,1
"8150","NT7276","LOTH","Y",9,2013,2024,"lcm_2019",40.33373063,41.0965435,3.05125149,1.525625745,"Arable","Arable",0.008074246,0.026943643,1
"8161","NT7400","NBLD","Y",6,2017,2023,"lcm_2019",18.870843,70.18561485,0.928074246,0.618716164,"Coniferous woodland","Coniferous woodland",0.004165289,0.008507766,1
"8170","NT7407","NBLD","Y",18,2006,2024,"lcm_2019",15.62258314,56.8058778,1.856148492,1.237432328,"Semi-natural grassland","Semi-natural grassland",0.00506467,0.030017936,1
"8176","NT7422","BORD","Y",23,1995,2024,"lcm_2019",49.11059551,43.23279196,7.424593968,1.237432328,"Improved grassland","Improved grassland",0.005545617,0.05817268,1
"8186","NT7503","NBLD","Y",27,1994,2024,"lcm_2019",50.34802784,51.46945089,5.877803558,1.54679041,"Coniferous woodland","Coniferous woodland",0.006581518,0.040427281,1
"8199","NT7664","BORD","Y",14,2010,2024,"lcm_2019",41.76334107,82.42459397,6.805877804,1.54679041,"Improved grassland","Improved grassland",0.00649308,0.064773937,1
"8202","NT7665","BORD","Y",19,2005,2024,"lcm_2019",46.86774942,75.05800464,4.949729312,1.54679041,"Improved grassland","Improved grassland",0.008366821,0.047959936,1
"8214","NT7707","NBLD","Y",5,2017,2023,"lcm_2019",11.21423047,77.76488786,1.237432328,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.003818996,0.026900509,1
"8221","NT7708","NBLD","Y",23,1995,2023,"lcm_2019",1.54679041,99.72931168,0.928074246,0.928074246,"Semi-natural grassland","Semi-natural grassland",0.002621171,0.072668595,1
"8224","NT7752","BORD","Y",13,2007,2024,"lcm_2019",60.86620263,64.71384377,7.424593968,1.237432328,"Arable","Arable",0.008963251,0.055344141,1
"8235","NT7852","BORD","Y",30,1994,2024,"lcm_2019",41.53132251,71.13302398,4.949729312,1.237432328,"Arable","Arable",0.007806469,0.057407103,1
