"","sitename","region_code","allocated","nyrs","firstyear","lastyear","layer","edge_density","largest_patch_index","patch_density","patch_richness_density","dominant_habitat","largest_patch_habitat","largest_patch_perimarea","mean_patch_perimarea","dominant_largest_same"
"482","ID0923","ANTR","Y",14,1996,2023,"lcm_2019",32.73360418,61.67537241,3.714451538,1.547688141,"Mountain, heath and bog","Mountain, heath and bog",0.005821832,0.043887026,1
"498","ID1037","ANTR","Y",11,1994,2013,"lcm_2019",43.8599884,38.48385225,5.260104429,1.23767163,"Semi-natural grassland","Semi-natural grassland",0.00598995,0.052549562,1
"515","ID1704","ANTR","Y",21,2002,2024,"lcm_2019",27.09502613,94.67776272,5.264176505,1.857944649,"Improved grassland","Improved grassland",0.005233034,0.056396231,1
"521","ID1904","ANTR","Y",6,2007,2024,"lcm_2019",25.70156764,93.41977937,5.573833946,1.548287207,"Improved grassland","Improved grassland",0.00510462,0.057131946,1
"528","ID2013","ANTR","Y",16,1997,2024,"lcm_2019",16.78267595,86.65893271,2.784222738,0.928074246,"Coniferous woodland","Coniferous woodland",0.00367693,0.066800581,1
"537","ID2209","ANTR","Y",6,2017,2024,"lcm_2019",38.55981417,91.03755323,7.742934572,1.238869532,"Improved grassland","Improved grassland",0.006242824,0.05909616,1
"542","ID2227","ANTR","Y",7,2017,2024,"lcm_2019",94.44551964,40.79736791,10.52835301,1.548287207,"Improved grassland","Improved grassland",0.016053131,0.062550605,1
"552","ID2530","ANTR","Y",16,1996,2024,"lcm_2019",55.84704313,62.20542463,6.402845709,2.845709204,"Improved grassland","Improved grassland",0.009149392,0.038197311,1
"560","ID3007","ANTR","Y",7,2006,2024,"lcm_2019",36.53250774,56.48219814,3.405572755,1.547987616,"Mountain, heath and bog","Mountain, heath and bog",0.006029462,0.048612743,1
"566","ID3100","ANTR","Y",28,1994,2024,"lcm_2019",47.86390876,63.92808815,3.092982795,1.237193118,"Mountain, heath and bog","Mountain, heath and bog",0.009555488,0.042596961,1
"570","ID3307","ANTR","Y",16,2007,2024,"lcm_2019",29.55512573,60.65764023,2.47582205,0.928433269,"Semi-natural grassland","Semi-natural grassland",0.005918367,0.03039875,1
"577","ID4001","ANTR","Y",25,1996,2024,"lcm_2019",69.4777995,34.45964814,15.19128735,2.680815415,"Built-up areas and gardens","Built-up areas and gardens",0.012123177,0.07627694,1
"590","IG9357","FERM","Y",21,1996,2022,"lcm_2019",29.70490522,91.18624194,4.377564979,1.250732851,"Semi-natural grassland","Semi-natural grassland",0.005675096,0.054066005,1
"593","IG9759","FERM","Y",1,2013,2013,"lcm_2019",85.64805058,43.26659642,10.79030558,1.685985248,"Semi-natural grassland","Semi-natural grassland",0.015742815,0.053029856,1
"602","IH0542","FERM","Y",23,1996,2022,"lcm_2019",45.62354764,46.20449264,5.577072037,1.549186677,"Coniferous woodland","Coniferous woodland",0.008885163,0.056956463,1
"611","IH1144","FERM","Y",19,1996,2019,"lcm_2019",66.51180798,31.47502904,9.60123887,1.548586914,"Coniferous woodland","Improved grassland",0.011070111,0.064356512,0
"624","IH1349","FERM","Y",15,1996,2024,"lcm_2019",96.61049777,57.9508038,13.94538059,1.549486733,"Improved grassland","Improved grassland",0.012005348,0.053272238,1
"629","IH1464","FERM","Y",26,1996,2024,"lcm_2019",122.2953904,35.1207275,34.11727814,3.51207275,"Semi-natural grassland","Semi-natural grassland",0.014571429,0.096515886,1
"635","IH1481","TYRO","Y",23,1996,2023,"lcm_2019",41.16850455,26.48481331,4.333526794,1.238150513,"Mountain, heath and bog","Improved grassland",0.009057706,0.059726536,0
"643","IH1561","FERM","Y",18,2002,2022,"lcm_2019",92.02106116,58.40421223,27.8655326,3.888213852,"Improved grassland","Improved grassland",0.010984743,0.087475156,1
"653","IH1681","TYRO","Y",7,2016,2023,"lcm_2019",49.48693127,55.91481123,6.815101646,1.548886738,"Improved grassland","Improved grassland",0.008587258,0.048664198,1
"657","IH1856","FERM","Y",16,2006,2024,"lcm_2019",95.04099961,13.51034752,12.80749707,1.561889887,"Improved grassland","Semi-natural grassland",0.016647399,0.05200097,0
"666","IH1861","FERM","Y",22,1996,2022,"lcm_2019",59.31941222,71.26836814,9.280742459,1.237432328,"Improved grassland","Improved grassland",0.007878459,0.060323328,1
"671","IH1975","TYRO","Y",24,1996,2023,"lcm_2019",15.15070686,88.98372899,2.560682849,1.280341424,"Coniferous woodland","Coniferous woodland",0.00498801,0.0647729,1
"677","IH2151","FERM","Y",18,2002,2022,"lcm_2019",90.11432414,59.48217888,26.36180229,3.22797579,"Improved grassland","Improved grassland",0.009496891,0.085088838,1
"684","IH2356","FERM","Y",16,1997,2024,"lcm_2019",85.65343659,24.6660213,11.15198451,1.858664085,"Improved grassland","Improved grassland",0.011365777,0.046830223,1
"694","IH2443","FERM","Y",11,1996,2019,"lcm_2019",57.75111283,70.19547126,10.52835301,1.857944649,"Built-up areas and gardens","Built-up areas and gardens",0.006242073,0.051460591,1
"697","IH2528","FERM","Y",17,2006,2024,"lcm_2019",46.01084431,48.17970565,4.02788536,1.239349342,"Semi-natural grassland","Semi-natural grassland",0.008874598,0.051613647,1
"706","IH2649","FERM","Y",20,1997,2024,"lcm_2019",29.86460348,91.70212766,6.499032882,1.547388781,"Improved grassland","Improved grassland",0.005264712,0.07726465,1
"733","IH3181","TYRO","Y",5,2012,2024,"lcm_2019",21.84353215,84.02401239,3.408210689,1.859024012,"Improved grassland","Improved grassland",0.004627794,0.051859535,1
"744","IH3182","TYRO","Y",14,1996,2023,"lcm_2019",25.32429816,88.59632139,4.336882865,1.548886738,"Improved grassland","Improved grassland",0.005122378,0.06053022,1
"748","IH3278","TYRO","Y",23,1996,2023,"lcm_2019",92.49226006,35.19736842,12.38390093,1.238390093,"Improved grassland","Improved grassland",0.014293568,0.05019936,1
"754","IH3340","FERM","Y",19,2002,2023,"lcm_2019",76.31578947,37.57739938,8.359133127,0.92879257,"Improved grassland","Improved grassland",0.012523172,0.048766111,1
"763","IH3479","TYRO","Y",19,2002,2023,"lcm_2019",67.28682171,76.27906977,10.85271318,1.550387597,"Improved grassland","Improved grassland",0.009674797,0.056576895,1
"774","IH3536","FERM","Y",20,2002,2024,"lcm_2019",77.08978328,55.57275542,7.120743034,1.547987616,"Improved grassland","Improved grassland",0.012618384,0.053445432,1
"782","IH3754","TYRO","Y",7,2013,2024,"lcm_2019",68.39458414,38.80077369,7.117988395,1.547388781,"Mountain, heath and bog","Mountain, heath and bog",0.011525424,0.048525099,1
"789","IH3839","FERM","Y",16,2006,2023,"lcm_2019",91.78426445,40.51807462,9.278948386,1.855789677,"Improved grassland","Improved grassland",0.013473282,0.055698352,1
"804","IH3932","FERM","Y",18,2002,2024,"lcm_2019",82.24588577,49.4482091,10.53242982,1.548886738,"Improved grassland","Improved grassland",0.012529366,0.051243994,1
"815","IH4050","TYRO","Y",10,2002,2024,"lcm_2019",62.65246854,79.59341723,8.983543078,2.168441433,"Improved grassland","Improved grassland",0.009301873,0.047102651,1
"817","IH4094","TYRO","Y",21,1997,2024,"lcm_2019",64.82090997,42.24588577,5.885769603,1.548886738,"Semi-natural grassland","Semi-natural grassland",0.00751604,0.052225554,1
"830","IH4136","FERM","Y",17,2006,2024,"lcm_2019",54.09804301,47.00639411,6.20034877,1.240069754,"Mountain, heath and bog","Mountain, heath and bog",0.00784831,0.053996364,1
"836","IH4170","TYRO","Y",21,1997,2023,"lcm_2019",71.64179104,73.94843962,9.304128707,2.170963365,"Improved grassland","Improved grassland",0.010380079,0.052804579,1
"851","IH4488","TYRO","Y",2,2015,2024,"lcm_2019",100.329011,31.79794852,14.55389975,1.857944649,"Improved grassland","Improved grassland",0.014948265,0.066758608,1
"854","IH4680","TYRO","Y",6,2002,2024,"lcm_2019",44.04024768,72.7747678,6.811145511,1.857585139,"Improved grassland","Improved grassland",0.00657272,0.052368157,1
"863","IH4688","TYRO","Y",20,1996,2023,"lcm_2019",75.59604575,57.12347354,8.993991084,1.550688118,"Improved grassland","Improved grassland",0.010885646,0.050217074,1
"875","IH5288","TYRO","Y",6,2016,2024,"lcm_2019",41.93423598,47.48549323,4.642166344,1.547388781,"Improved grassland","Improved grassland",0.009319756,0.057051524,1
"882","IH5341","TYRO","Y",5,2014,2018,"lcm_2019",24.6364414,84.08896493,4.790419162,2.053036784,"Coniferous woodland","Coniferous woodland",0.006876907,0.04907273,1
"895","IH5444","TYRO","Y",18,2002,2024,"lcm_2019",5.730880929,98.25750242,0.929332043,0.929332043,"Mountain, heath and bog","Mountain, heath and bog",0.003105419,0.025883624,1
"909","IH5568","TYRO","Y",19,1997,2023,"lcm_2019",29.1077995,84.69131024,2.786916973,0.928972324,"Improved grassland","Improved grassland",0.005319927,0.039530342,1
"945","IH6664","TYRO","Y",16,2002,2023,"lcm_2019",93.48036371,25.3240472,12.0719675,1.238150513,"Improved grassland","Mountain, heath and bog",0.021512605,0.048502135,0
"951","IH6999","TYRO","Y",23,1996,2024,"lcm_2019",41.57955865,41.92799071,3.097173829,0.929152149,"Coniferous woodland","Coniferous woodland",0.005577101,0.029471253,1
"956","IH7255","ARMA","Y",5,2006,2021,"lcm_2019",56.98799845,82.7332559,9.60123887,1.858304297,"Improved grassland","Improved grassland",0.009040711,0.06819766,1
"965","IH7354","ARMA","Y",4,2013,2024,"lcm_2019",70.46070461,70.86720867,11.45954317,2.16802168,"Improved grassland","Improved grassland",0.010095602,0.050008135,1
"973","IH7386","TYRO","Y",20,1996,2017,"lcm_2019",41.90549961,78.21456235,3.098373354,1.239349342,"Mountain, heath and bog","Mountain, heath and bog",0.007645457,0.036369115,1
"976","IH7440","ARMA","Y",21,1999,2024,"lcm_2019",82.0042343,70.81863091,14.11432604,2.822865208,"Improved grassland","Improved grassland",0.014349776,0.060424886,1
"991","IH7547","ARMA","Y",6,2002,2023,"lcm_2019",46.77637948,80.21297193,7.124878993,1.548886738,"Improved grassland","Improved grassland",0.007704562,0.049626086,1
"1002","IH7644","ARMA","Y",5,2002,2021,"lcm_2019",77.85079242,70.62234248,11.75106301,1.855431001,"Improved grassland","Improved grassland",0.011866448,0.06682332,1
"1012","IH7769","TYRO","Y",8,2002,2023,"lcm_2019",28.71517028,90.30572755,5.882352941,1.547987616,"Improved grassland","Improved grassland",0.004953932,0.064462731,1
"1024","IH8132","ARMA","Y",20,1996,2024,"lcm_2019",41.57955865,90.66976384,8.052651955,1.548586914,"Improved grassland","Improved grassland",0.006814688,0.058433781,1
"1026","IH8137","ARMA","Y",6,2016,2024,"lcm_2019",26.01626016,92.81842818,4.026325978,1.858304297,"Improved grassland","Improved grassland",0.00515537,0.049317072,1
"1038","IH8237","ARMA","Y",17,2006,2024,"lcm_2019",5.420054201,98.89663182,1.238869532,0.929152149,"Improved grassland","Improved grassland",0.002975142,0.044795734,1
"1040","IH8433","ARMA","Y",21,2002,2024,"lcm_2019",53.97870281,68.15101646,7.434656341,1.548886738,"Improved grassland","Improved grassland",0.008522727,0.063190986,1
"1049","IH8459","ARMA","Y",23,1996,2024,"lcm_2019",70.68832173,74.74864656,11.75560712,1.54679041,"Improved grassland","Improved grassland",0.010036213,0.058912677,1
"1059","IH8471","TYRO","Y",9,1996,2024,"lcm_2019",46.64858582,71.27082526,7.12901976,1.549786904,"Improved grassland","Improved grassland",0.008176135,0.070975174,1
"1066","IH8878","TYRO","Y",6,2002,2024,"lcm_2019",63.16605309,68.59135826,11.47064522,1.550087192,"Improved grassland","Improved grassland",0.008903955,0.071419499,1
"1073","IH8982","LDRY","Y",3,2013,2024,"lcm_2019",52.51353442,85.07347254,8.662026295,1.54679041,"Improved grassland","Improved grassland",0.007909091,0.057144392,1
"1075","IH9025","ARMA","Y",8,1999,2021,"lcm_2019",18.43532146,95.62354764,3.098373354,0.929512006,"Improved grassland","Improved grassland",0.004374241,0.050860425,1
"1081","IH9058","ARMA","Y",4,2006,2023,"lcm_2019",101.8955513,30.69632495,14.8549323,1.856866538,"Improved grassland","Improved grassland",0.014921235,0.048925701,1
"1088","IH9062","ARMA","Y",21,2002,2024,"lcm_2019",94.29069092,46.39055545,14.55389975,2.16760209,"Improved grassland","Improved grassland",0.013617021,0.056089466,1
"1101","IH9153","ARMA","Y",7,2002,2023,"lcm_2019",75.44539117,66.90549961,12.39349342,1.859024012,"Improved grassland","Improved grassland",0.011183792,0.060729693,1
"1103","IH9258","ARMA","Y",15,2010,2024,"lcm_2019",76.12778316,74.15295257,12.70087125,1.858664085,"Improved grassland","Improved grassland",0.010443864,0.05765093,1
"1110","IH9384","LDRY","Y",16,1997,2024,"lcm_2019",71.20743034,75.89009288,9.59752322,1.547987616,"Improved grassland","Improved grassland",0.010423253,0.064514567,1
"1132","IH9646","ARMA","Y",17,2006,2024,"lcm_2019",69.00290416,64.89835431,10.53242982,1.858664085,"Improved grassland","Improved grassland",0.010453461,0.05865409,1
"1142","IH9674","TYRO","Y",10,1996,2021,"lcm_2019",102.6748971,43.82716049,18.93004115,4.115226337,"Improved grassland","Improved grassland",0.015399061,0.075632566,1
"1146","IH9918","ARMA","Y",19,2002,2024,"lcm_2019",76.31935047,46.08544365,9.588246665,2.474386236,"Improved grassland","Improved grassland",0.008255034,0.048742993,1
"1161","IH9954","ARMA","Y",17,1995,2024,"lcm_2019",82.98530549,43.75483372,11.13689095,1.856148492,"Built-up areas and gardens","Built-up areas and gardens",0.010251878,0.05261804,1
"1167","IJ0015","ARMA","Y",20,1996,2024,"lcm_2019",76.22488146,43.77963423,13.00519305,2.890042899,"Improved grassland","Improved grassland",0.01196493,0.063025913,1
"1176","IJ0159","ANTR","Y",13,1996,2023,"lcm_2019",104.5999227,50.81175106,15.77116351,1.855431001,"Improved grassland","Improved grassland",0.015762647,0.064101734,1
"1180","IJ0330","ARMA","Y",21,1996,2024,"lcm_2019",28.17882717,92.08438165,4.644861622,1.238629766,"Improved grassland","Improved grassland",0.005531736,0.051585623,1
"1187","IJ0335","ARMA","Y",15,2006,2024,"lcm_2019",13.8625363,97.13455954,3.097773475,1.548886738,"Improved grassland","Improved grassland",0.003763205,0.052958449,1
"1199","IJ0450","ANTR","Y",9,2014,2024,"lcm_2019",117.8426445,11.36671177,18.24859849,1.237193118,"Improved grassland","Semi-natural grassland",0.022040816,0.055016672,0
"1207","IJ0561","ANTR","Y",28,1994,2024,"lcm_2019",128.1214848,19.03824522,30.59617548,2.699662542,"Semi-natural grassland","Broadleaf woodland",0.019970458,0.079225953,0
"1214","IJ0615","ARMA","Y",12,1996,2023,"lcm_2019",69.83985765,77.13523132,12.45551601,2.135231317,"Improved grassland","Improved grassland",0.00899654,0.057021753,1
"1227","IJ0939","ARMA","Y",8,2011,2024,"lcm_2019",59.02401239,70.27498064,7.43609605,1.549186677,"Improved grassland","Improved grassland",0.009413061,0.05725261,1
"1235","IJ1371","ANTR","Y",13,2009,2023,"lcm_2019",99.45778466,41.05344694,16.42137878,1.549186677,"Improved grassland","Improved grassland",0.015660377,0.057999097,1
"1239","IJ1426","DOWN","Y",16,1995,2011,"lcm_2019",91.49265275,62.258314,14.53982985,1.856148492,"Improved grassland","Improved grassland",0.011826087,0.058664806,1
"1266","IJ1592","ANTR","Y",14,1994,2022,"lcm_2019",27.2182486,92.944133,4.948772472,1.855789677,"Improved grassland","Improved grassland",0.005291181,0.061358982,1
"1284","IJ1749","DOWN","Y",13,1997,2024,"lcm_2019",75.26132404,73.3255904,9.910956252,1.548586914,"Improved grassland","Improved grassland",0.011721225,0.055980272,1
"1299","IJ1930","DOWN","Y",14,1996,2010,"lcm_2019",58.99224806,77.77131783,7.751937984,1.860465116,"Improved grassland","Improved grassland",0.009867929,0.064226747,1
"1304","IJ2020","DOWN","Y",17,2002,2024,"lcm_2019",54.14407436,40.78233927,8.675445391,1.859024012,"Coniferous woodland","Coniferous woodland",0.008660969,0.059938489,1
"1314","IJ2082","ANTR","Y",27,1994,2023,"lcm_2019",65.80220631,82.73659764,9.599380685,1.548287207,"Improved grassland","Improved grassland",0.009974269,0.052763065,1
"1320","IJ2097","ANTR","Y",17,2007,2024,"lcm_2019",60.66937512,58.36718901,5.881214935,1.238150513,"Improved grassland","Improved grassland",0.010739145,0.047072671,1
"1333","IJ2161","ANTR","Y",11,2002,2023,"lcm_2019",124.0178053,13.72169537,18.57944649,1.857944649,"Improved grassland","Improved grassland",0.020648801,0.054278191,1
"1334","IJ2162","ANTR","Y",10,2005,2024,"lcm_2019",107.7042199,22.78358498,16.41502129,1.858304297,"Improved grassland","Arable",0.011146984,0.051955842,0
"1347","IJ2191","ANTR","Y",10,2006,2023,"lcm_2019",29.12470953,92.85437645,5.886909373,0.929512006,"Improved grassland","Improved grassland",0.005422315,0.063234067,1
"1348","IJ2192","ANTR","Y",19,1994,2023,"lcm_2019",42.65531256,88.31043159,6.812463712,1.548287207,"Improved grassland","Improved grassland",0.007065527,0.052581722,1
"1355","IJ2299","ANTR","Y",9,2014,2024,"lcm_2019",60.0811908,66.71177267,6.185965591,0.927894839,"Improved grassland","Improved grassland",0.009319038,0.054493926,1
"1364","IJ2314","DOWN","Y",6,2002,2022,"lcm_2019",51.11039588,83.97167686,9.784357902,2.574831027,"Arable","Arable",0.008095056,0.076026346,1
"1371","IJ2340","DOWN","Y",29,1994,2024,"lcm_2019",68.06039489,80.75880759,10.22067364,1.548586914,"Improved grassland","Improved grassland",0.0105465,0.05275479,1
"1377","IJ2349","DOWN","Y",14,2005,2018,"lcm_2019",46.51702786,75.5998452,5.572755418,1.857585139,"Improved grassland","Improved grassland",0.007309956,0.047662269,1
"1399","IJ2465","ANTR","Y",19,2005,2024,"lcm_2019",19.26126475,93.69561013,4.022432798,1.23767163,"Built-up areas and gardens","Built-up areas and gardens",0.00424355,0.046367349,1
"1412","IJ2484","ANTR","Y",21,1996,2022,"lcm_2019",32.06816421,91.96359411,6.506584043,1.549186677,"Improved grassland","Improved grassland",0.005862287,0.064563504,1
"1413","IJ2495","ANTR","Y",19,1996,2022,"lcm_2019",58.26070114,65.13654852,5.268254891,1.239589386,"Improved grassland","Improved grassland",0.010799881,0.058903451,1
"1428","IJ2555","DOWN","Y",13,2006,2024,"lcm_2019",31.40591762,88.89963257,4.331850706,1.547089538,"Improved grassland","Improved grassland",0.005255601,0.04836445,1
"1440","IJ2670","ANTR","Y",20,1994,2023,"lcm_2019",73.17073171,39.08246225,7.742934572,1.858304297,"Mountain, heath and bog","Mountain, heath and bog",0.01307578,0.044757715,1
"1453","IJ2797","ANTR","Y",12,1999,2024,"lcm_2019",64.68085106,39.49709865,5.880077369,1.237911025,"Mountain, heath and bog","Mountain, heath and bog",0.011008815,0.05484668,1
"1465","IJ2839","DOWN","Y",7,1997,2019,"lcm_2019",37.99574386,90.0754498,6.500290192,1.547688141,"Improved grassland","Improved grassland",0.006185567,0.058356628,1
"1478","IJ2921","DOWN","Y",10,2002,2015,"lcm_2019",26.48596321,86.35043562,5.575992256,1.548886738,"Mountain, heath and bog","Mountain, heath and bog",0.004573991,0.064525383,1
"1486","IJ3027","DOWN","Y",14,2007,2024,"lcm_2019",21.68441433,90.22265247,1.858664085,0.619554695,"Mountain, heath and bog","Mountain, heath and bog",0.004583691,0.0429864,1
"1498","IJ3119","DOWN","Y",1,2019,2019,"lcm_2019",92.93867286,62.6426775,12.0719675,1.547688141,"Improved grassland","Improved grassland",0.013613342,0.068386844,1
"1499","IJ3185","ANTR","Y",13,2004,2024,"lcm_2019",67.13124274,48.5675571,9.60123887,2.16802168,"Improved grassland","Improved grassland",0.011510562,0.057530429,1
"1508","IJ3254","DOWN","Y",7,2015,2021,"lcm_2019",46.53140097,83.42028986,10.20289855,1.54589372,"Improved grassland","Improved grassland",0.00654158,0.070070266,1
"1518","IJ3285","ANTR","Y",11,2000,2023,"lcm_2019",50.67698259,60.58027079,7.427466151,2.166344294,"Improved grassland","Improved grassland",0.008020434,0.053712819,1
"1521","IJ3289","ANTR","Y",19,2002,2024,"lcm_2019",16.01857226,96.78854711,3.714451538,0.928612885,"Improved grassland","Improved grassland",0.004029582,0.059382807,1
"1527","IJ3346","DOWN","Y",22,1994,2024,"lcm_2019",66.03444939,45.59705825,8.360750919,1.238629766,"Coniferous woodland","Coniferous woodland",0.007640068,0.052064643,1
"1545","IJ3478","ANTR","Y",10,2014,2024,"lcm_2019",20.68965517,71.29206481,2.32654757,1.661819693,"Built-up areas and gardens","Built-up areas and gardens",0.005244755,0.066487382,1
"1552","IJ3555","DOWN","Y",27,1994,2024,"lcm_2019",55.93647104,83.63354639,10.53650978,1.859384079,"Improved grassland","Improved grassland",0.008133395,0.060371274,1
"1564","IJ3589","ANTR","Y",13,1997,2024,"lcm_2019",52.19408467,34.75739416,5.567369032,1.855789677,"Coniferous woodland","Coniferous woodland",0.009299221,0.049098122,1
"1576","IJ3626","DOWN","Y",23,1995,2024,"lcm_2019",0,100,0.309537628,0.309537628,"Mountain, heath and bog","Mountain, heath and bog",0.002476301,0.002476301,1
"1580","IJ3639","DOWN","Y",9,2006,2023,"lcm_2019",92.15876089,64.76282672,13.32042594,2.168441433,"Improved grassland","Improved grassland",0.013488789,0.056276932,1
"1596","IJ3792","ANTR","Y",13,2012,2024,"lcm_2019",72.62872629,26.86798297,5.265195509,1.238869532,"Improved grassland","Improved grassland",0.013717579,0.052606328,1
"1602","IJ3795","ANTR","Y",14,1996,2024,"lcm_2019",32.59775455,90.08904375,4.955478126,0.619434766,"Improved grassland","Improved grassland",0.005896003,0.051633203,1
