gridref,region_code,allocated,nyrs,firstyear,lastyear
IH9025,ARMA,Y,8,1999,2021
IH9058,ARMA,Y,4,2006,2023
IH9062,ARMA,Y,21,2002,2024
IH9153,ARMA,Y,7,2002,2023
IH9258,ARMA,Y,15,2010,2024
IH9384,LDRY,Y,16,1997,2024
IH9625,ARMA,N,5,1996,2000
IH9643,ARMA,N,13,2005,2021
IH9646,ARMA,Y,17,2006,2024
IH9674,TYRO,Y,10,1996,2021
IH9918,ARMA,Y,19,2002,2024
IH9949,ARMA,N,10,2012,2021
IH9954,ARMA,Y,17,1995,2024
IJ0015,ARMA,Y,20,1996,2024
IJ0159,ANTR,Y,13,1996,2023
IJ0330,ARMA,Y,21,1996,2024
IJ0335,ARMA,Y,15,2006,2024
IJ0450,ANTR,Y,9,2014,2024
IJ0493,ANTR,N,3,2014,2016
IJ0561,ANTR,Y,28,1994,2024
IJ0615,ARMA,Y,12,1996,2023
IJ0753,ANTR,Y,4,2021,2024
IJ0939,ARMA,Y,8,2011,2024
IJ1371,ANTR,Y,13,2009,2023
IJ1426,DOWN,Y,16,1995,2011
IJ1476,ANTR,N,5,2008,2023
IJ1494,ANTR,N,17,1999,2021
IJ1531,DOWN,N,22,1997,2021
IJ1592,ANTR,Y,14,1994,2022
IJ1649,DOWN,Y,4,2021,2024
IJ1653,DOWN,N,16,1998,2023
IJ1749,DOWN,Y,13,1997,2024
IJ1786,ANTR,Y,4,2021,2024
IJ1830,DOWN,N,21,1994,2017
IJ1930,DOWN,Y,14,1996,2010
IJ2020,DOWN,Y,17,2002,2024
IJ2082,ANTR,Y,27,1994,2023
IJ2097,ANTR,Y,17,2007,2024
IJ2161,ANTR,Y,11,2002,2023
IJ2162,ANTR,Y,10,2005,2024
IJ2191,ANTR,Y,10,2006,2023
IJ2192,ANTR,Y,19,1994,2023
IJ2299,ANTR,Y,9,2014,2024
IJ2314,DOWN,Y,6,2002,2022
IJ2340,DOWN,Y,29,1994,2024
IJ2349,DOWN,Y,14,2005,2018
IJ2354,DOWN,N,13,1994,2009
IJ2365,ANTR,N,14,1994,2017
IJ2379,ANTR,Y,3,2021,2023
IJ2465,ANTR,Y,19,2005,2024
IJ2484,ANTR,Y,21,1996,2022
IJ2495,ANTR,Y,19,1996,2022
IJ2514,DOWN,N,8,1998,2019
IJ2555,DOWN,Y,13,2006,2024
IJ2670,ANTR,Y,20,1994,2023
IJ2747,DOWN,N,9,1998,2007
IJ2797,ANTR,Y,12,1999,2024
IJ2823,DOWN,N,23,1994,2021
IJ2839,DOWN,Y,7,1997,2019
IJ2856,DOWN,N,8,2002,2016
IJ2921,DOWN,Y,10,2002,2015
IJ3027,DOWN,Y,14,2007,2024
IJ3119,DOWN,Y,1,2019,2019
IJ3185,ANTR,Y,13,2004,2024
IJ3254,DOWN,Y,7,2015,2021
IJ3285,ANTR,Y,11,2000,2023
IJ3289,ANTR,Y,19,2002,2024
IJ3346,DOWN,Y,22,1994,2024
IJ3371,ANTR,N,11,2005,2023
IJ3478,ANTR,Y,10,2014,2024
IJ3533,DOWN,N,2,2020,2021
IJ3555,DOWN,Y,27,1994,2024
IJ3560,DOWN,N,12,1998,2021
IJ3589,ANTR,Y,13,1997,2024
IJ3626,DOWN,Y,23,1995,2024
IJ3639,DOWN,Y,9,2006,2023
IJ3661,DOWN,N,29,1994,2023
IJ3792,ANTR,Y,13,2012,2024
IJ3795,ANTR,Y,14,1996,2024
