gridref,region_code,allocated,nyrs,firstyear,lastyear
SD7775,YKNW,Y,18,2007,2024
SD7814,MANC,Y,25,1994,2024
SD7840,LANE,Y,20,1999,2024
SD7843,LANE,N,26,1994,2021
SD7859,LANE,N,3,2009,2011
SD7903,MANC,Y,27,1998,2024
SD7926,LANE,Y,26,1995,2023
SD7950,LANE,N,22,1997,2019
SD8017,MANC,Y,21,1997,2024
SD8061,YKNW,Y,3,2022,2024
SD8096,YKNW,Y,15,1994,2024
SD8113,MANC,Y,28,1994,2024
SD8115,MANC,Y,17,2005,2022
SD8169,YKNW,Y,13,2012,2024
SD8172,YKNW,Y,28,1996,2024
SD8205,MANC,Y,12,2006,2022
SD8211,MANC,N,20,1994,2015
SD8239,LANE,Y,20,1994,2014
SD8282,YKNW,N,18,2006,2023
SD8349,LANE,N,12,2007,2018
SD8365,YKNW,Y,26,1994,2024
SD8479,YKNW,Y,10,2012,2022
SD8514,MANC,Y,21,1998,2024
SD8518,MANC,N,8,2010,2017
SD8519,MANC,N,18,1997,2017
SD8566,YKNW,N,10,2006,2019
SD8574,YKNW,N,8,2012,2022
SD8576,YKNW,N,22,1994,2018
SD8591,YKNW,Y,26,1998,2024
SD8607,MANC,N,28,1995,2023
SD8615,MANC,Y,17,1999,2023
SD8628,LANE,Y,8,2014,2022
SD8630,LANE,N,10,1996,2007
SD8643,LANE,N,4,2015,2018
SD8644,LANE,N,14,2005,2018
SD8657,LANE,N,6,2012,2017
SD8658,LANE,N,5,2013,2017
SD8672,YKNW,Y,17,2004,2024
SD8727,LANE,Y,29,1994,2024
SD8732,LANE,Y,23,1994,2018
SD8769,YKNW,N,12,2010,2022
SD8770,YKNW,N,16,2006,2022
SD8796,YKNW,Y,26,1998,2024
SD8815,MANC,Y,28,1995,2024
SD8819,MANC,N,21,1999,2020
SD8838,LANE,Y,13,2005,2024
SD8839,LANE,Y,17,2005,2024
SD8864,YKNW,Y,15,2006,2024
SD8895,YKNW,N,5,2019,2023
SD8909,MANC,Y,23,1996,2022
SD8912,MANC,N,25,1994,2020
SD8990,YKNW,Y,15,2005,2024
SD8995,YKNW,N,8,1998,2023
SD9021,YKBR,Y,13,2012,2024
SD9022,YKBR,Y,13,2012,2024
SD9033,YKBR,Y,14,2011,2024
SD9034,YKBR,Y,14,2011,2024
SD9042,YKBR,Y,23,2002,2024
SD9044,YKBR,Y,26,1997,2024
SD9065,YKNW,Y,14,2010,2023
SD9066,YKNW,Y,18,2006,2023
SD9085,YKRH,Y,28,1994,2023
SD9087,YKRH,N,26,1994,2022
SD9117,MANC,Y,29,1994,2023
SD9164,YKNW,N,9,2012,2022
SD9179,YKNW,Y,2,2022,2023
SD9192,YKRH,Y,4,2019,2024
SD9217,MANC,Y,28,1994,2024
SD9243,YKBR,Y,29,1994,2023
SD9284,YKRH,Y,27,1994,2024
SD9380,YKRH,Y,25,1994,2023
SD9398,YKRH,Y,22,2003,2024
SD9402,MANC,Y,26,1994,2024
SD9430,YKBR,Y,3,2010,2024
SD9431,YKBR,Y,19,2005,2024
SD9460,YKNW,Y,2,2021,2022
SD9482,YKRH,N,19,1994,2021
SD9501,MANC,Y,30,1994,2024
SD9526,YKBR,Y,28,1994,2024
SD9529,YKBR,Y,17,2006,2023
SD9550,YKNW,Y,7,2017,2024
SD9592,YKRH,Y,27,1994,2024
SD9595,YKRH,Y,15,1994,2024
SD9602,MANC,Y,30,1994,2024
SD9617,MANC,Y,18,2006,2023
SD9626,YKBR,N,6,2010,2015
SD9627,YKBR,N,21,1994,2015
SD9645,YKBR,Y,28,1994,2023
SD9662,YKNW,Y,15,2010,2024
SD9673,YKNW,Y,15,2010,2024
SD9674,YKNW,Y,26,1998,2024
SD9698,YKRH,N,28,1994,2022
SD9704,MANC,Y,29,1994,2024
SD9718,MANC,Y,19,2005,2023
SD9721,YKBR,N,10,2013,2023
SD9722,YKBR,N,26,1994,2023
SD9734,YKBR,Y,23,2002,2024
SD9763,YKNW,Y,29,1995,2024
SD9798,YKRH,N,7,2016,2022
SD9838,YKBR,Y,13,2005,2023
SD9841,YKBR,Y,7,2010,2016
SD9842,YKBR,Y,26,1998,2024
SD9859,YKNW,Y,3,2022,2024
SD9867,YKNW,Y,18,2004,2024
SD9883,YKRH,Y,13,2012,2024
SD9884,YKRH,Y,13,2012,2024
SD9889,YKRH,Y,14,2007,2024
SD9893,YKRH,Y,11,2007,2024
SD9904,MANC,Y,20,2005,2024
SD9906,MANC,Y,30,1994,2024
SD9942,YKBR,Y,19,2006,2024
SD9966,YKNW,Y,3,2021,2023
SD9977,YKNW,N,11,1994,2012
SD9991,YKRH,Y,12,2007,2019
SE0008,YKBR,Y,4,2021,2024
SE0009,YKBR,Y,26,1994,2024
SE0051,YKHA,N,16,1997,2024
SE0061,YKHA,N,7,2012,2021
SE0099,YKRH,Y,9,2012,2024
SE0298,YKRH,Y,11,2014,2024
SE0315,YKBR,Y,13,2005,2024
SE0368,YKHA,N,18,1997,2022
SE0392,YKRH,Y,13,2012,2024
SE0430,YKBR,Y,18,2002,2024
SE0461,YKHA,N,11,1997,2014
SE0507,YKBR,N,8,2015,2022
SE0508,YKBR,N,17,2005,2022
SE0550,YKHA,N,14,2010,2023
SE0561,YKHA,Y,12,2011,2024
SE0605,YKBR,N,3,2012,2014
SE0606,YKBR,Y,14,2002,2024
SE0657,YKHA,Y,2,2012,2024
SE0746,YKBR,Y,8,2006,2022
SE0756,YKHA,Y,6,2012,2023
SE1008,YKBR,Y,27,1994,2024
SE1030,YKBR,Y,27,1994,2023
SE1190,YKRH,Y,7,2007,2024
SE1191,YKRH,Y,30,1994,2024
SE1211,YKBR,Y,18,2002,2023
SE1244,YKBR,Y,27,1995,2024
SE1256,YKHA,Y,27,1997,2024
SE1269,YKHA,Y,30,1994,2024
SE1300,YKBR,Y,19,2006,2024
SE1319,YKBR,Y,3,2021,2023
SE1357,YKHA,N,4,1996,1999
SE1398,YKRH,Y,5,2020,2024
SE1430,YKBR,N,2,2002,2020
SE1440,YKBR,N,14,2006,2019
SE1446,YKBR,Y,24,1998,2024
SE1455,YKHA,N,16,2006,2022
SE1710,YKBR,Y,11,2012,2023
SE1720,YKBR,Y,22,1997,2024
SE1764,YKHA,Y,15,2003,2024
SE1874,YKHA,N,14,1994,2008
SE1918,YKBR,Y,6,2017,2023
SE1937,YKBR,Y,24,1994,2024
SE1976,YKHA,N,11,2012,2023
SE2003,YKSW,Y,3,2014,2024
SE2010,YKSW,Y,2,2023,2024
SE2037,YKLW,Y,14,2007,2023
SE2043,YKLW,Y,14,2011,2024
SE2044,YKLW,Y,29,1994,2024
SE2066,YKHA,Y,16,1997,2024
SE2092,YKRH,Y,17,2007,2024
SE2096,YKRH,Y,1,2024,2024
SE2108,YKSW,Y,13,1994,2024
SE2147,YKLW,N,11,2007,2019
SE2177,YKHA,N,9,1994,2017
SE2180,YKHA,Y,17,2003,2024
SE2264,YKHA,Y,8,2015,2024
SE2332,YKLW,Y,21,1998,2023
SE2337,YKLW,Y,4,2007,2024
SE2368,YKHA,Y,15,1994,2024
SE2392,YKRH,N,2,2012,2013
SE2400,YKSW,Y,12,2007,2024
SE2401,YKSW,Y,23,1994,2024
SE2402,YKSW,N,24,1997,2023
SE2450,YKHA,N,2,2010,2011
SE2453,YKHA,N,16,1994,2011
SE2500,YKSW,Y,25,1998,2024
SE2510,YKSW,Y,12,2006,2024
SE2512,YKSW,N,8,2012,2019
SE2541,YKLW,Y,4,2007,2024
SE2543,YKLW,N,24,1997,2024
SE2545,YKLW,N,6,2012,2018
SE2575,YKHA,Y,28,1994,2024
SE2597,YKRH,Y,12,2013,2024
SE2614,YKSW,Y,2,2023,2024
SE2704,YKSW,Y,15,2010,2024
SE2771,YKHA,N,1,2019,2019
SE2798,YKRH,Y,13,2012,2024
SE2894,YKRH,Y,6,2017,2023
SE2917,YKSW,Y,31,1994,2024
SE2934,YKLW,Y,16,2009,2024
SE3010,YKLW,N,1,2011,2011
SE3046,YKLW,Y,20,1994,2023
SE3057,YKHA,Y,13,2006,2024
SE3102,YKSW,Y,18,2007,2024
SE3107,YKSW,Y,1,2007,2007
SE3123,YKLW,Y,1,2012,2012
SE3136,YKLW,Y,9,2009,2024
SE3147,YKLW,Y,26,1997,2024
SE3148,YKLW,N,8,2007,2018
SE3152,YKHA,Y,29,1994,2024
SE3197,YKRH,Y,20,2004,2023
SE3199,YKRH,N,13,2003,2016
SE3231,YKLW,N,18,1994,2017
SE3235,YKLW,Y,14,2007,2024
SE3239,YKLW,N,13,1994,2017
SE3246,YKLW,Y,20,2003,2023
SE3274,YKHA,N,1,1997,1997
SE3385,YKHA,N,5,1997,2009
SE3400,YKSW,Y,18,1994,2024
SE3494,YKRH,N,1,2022,2022
SE3499,YKRH,Y,11,2006,2024
SE3508,YKSW,N,4,2005,2008
SE3514,YKLW,N,8,2011,2018
SE3533,YKLW,Y,23,1999,2024
SE3593,YKRH,Y,30,1994,2024
SE3608,YKSW,N,3,1994,1996
SE3700,YKSW,Y,7,2012,2022
SE3709,YKSW,N,3,1999,2009
SE3734,YKLW,Y,13,1995,2024
SE3753,YKHA,Y,26,1994,2024
SE3798,YKRH,Y,11,2012,2024
SE3806,YKSW,N,4,2009,2012
SE3897,YKRH,Y,8,2017,2024
SE3933,YKLW,Y,12,2010,2024
SE3936,YKLW,Y,7,2007,2021
SE4021,YKLW,N,2,2012,2017
SE4035,YKLW,Y,16,2007,2024
SE4103,YKSW,N,6,2010,2017
SE4115,YKLW,N,1,2007,2007
SE4137,YKLW,N,6,2007,2014
SE4180,YKHA,Y,3,2021,2023
SE4224,YKLW,N,18,1994,2019
SE4289,YKHA,Y,8,2005,2024
SE4340,YKLW,N,13,2010,2022
SE4361,YKHA,N,28,1994,2022
SE4369,YKHA,N,4,1995,1998
SE4389,YKHA,Y,4,2005,2023
SE4399,YKRH,N,1,2018,2018
SE4416,YKLW,Y,12,1994,2024
SE4441,YKLW,N,5,2010,2014
SE4445,YKLW,Y,22,2002,2024
SE4492,YKRH,N,3,2018,2020
SE4494,YKRH,N,12,2011,2022
SE4574,YKHA,N,22,1997,2024
SE4596,YKRH,Y,17,2007,2023
SE4597,YKRH,Y,23,1994,2024
SE4604,YKSW,N,1,1999,1999
SE4611,YKLW,N,1,2009,2009
SE4629,YKLW,Y,23,1995,2024
SE4639,YKLW,Y,26,1994,2024
SE4713,YKLW,N,3,2012,2014
SE4746,YKLW,N,4,2012,2016
SE4816,YKLW,N,4,2012,2017
SE4817,YKLW,Y,16,2004,2024
SE4828,YKLW,N,1,2014,2014
SE4841,YKLW,N,8,2013,2022
SE4876,YKHA,Y,19,2006,2024
SE4972,YKHA,N,14,2006,2019
SE5062,YORK,N,1,2013,2013
SE5102,YKSE,Y,23,1996,2024
SE5126,YKLW,N,4,1997,2000
SE5149,YORK,Y,24,1998,2024
SE5202,YKSE,N,7,2002,2009
SE5226,YKLW,N,10,1997,2019
SE5245,YORK,Y,20,2005,2024
SE5288,YKNE,N,19,1995,2016
SE5291,YKNE,N,6,2015,2020
SE5292,YKNE,N,7,2014,2020
SE5360,YORK,Y,12,1994,2024
SE5389,YKNE,N,5,2012,2017
SE5421,YKLW,Y,3,1998,2000
SE5478,YORK,Y,18,2003,2024
SE5546,YORK,Y,13,2012,2024
SE5551,YORK,Y,27,1994,2022
SE5579,YORK,Y,27,1997,2024
SE5605,YKSE,N,3,1996,1999
SE5702,YKSE,N,5,2013,2018
SE5821,YKLW,N,3,2012,2014
SE5855,YORK,Y,16,2005,2023
SE5907,YKSE,Y,16,2008,2023
SE5974,YORK,Y,16,2005,2023
SE5978,YORK,Y,12,2012,2023
SE5993,YKNE,N,13,2004,2016
SE6041,YORK,Y,13,2012,2024
SE6043,YORK,Y,30,1994,2024
SE6071,YORK,Y,31,1994,2024
SE6076,YORK,Y,16,2007,2023
SE6089,YKNE,Y,8,2017,2024
SE6132,YORK,Y,27,1995,2024
SE6137,YORK,Y,27,1994,2024
SE6169,YORK,Y,21,1994,2023
SE6184,YKNE,N,4,2012,2018
SE6204,YKSE,Y,17,1999,2024
SE6244,YORK,Y,24,1996,2023
SE6254,YORK,Y,18,2005,2023
SE6318,YKSE,N,11,2005,2015
SE6427,YKSE,Y,12,1997,2024
SE6489,YKNE,Y,8,2017,2024
SE6608,YKSE,N,3,1997,1999
SE6655,YORK,Y,20,2002,2024
SE6666,YORK,Y,22,1996,2023
SE6750,YORK,Y,19,2006,2024
SE6786,YKNE,Y,4,2021,2024
SE6811,YKSE,N,8,1996,2010
SE6812,YKSE,N,13,1996,2009
SE6863,YORK,Y,13,2012,2024
SE6951,YORK,Y,20,2005,2024
SE6979,YORK,Y,14,1994,2024
SE6980,YKNE,N,8,2012,2019
SE7050,YORK,Y,26,1994,2023
SE7060,YORK,N,16,2005,2023
SE7063,YORK,Y,20,2005,2024
SE7074,YORK,Y,15,2007,2024
SE7167,YORK,Y,26,1995,2023
SE7231,YORK,Y,25,1995,2023
SE7235,YORK,Y,9,2014,2023
SE7282,YKNE,N,25,1994,2019
SE7366,YORK,Y,19,2005,2024
SE7403,LINN,N,12,2007,2019
SE7554,YORK,Y,26,1997,2024
SE7625,YKHU,N,4,2004,2007
SE7636,YORK,Y,14,2007,2024
SE7648,YORK,Y,13,2012,2024
SE7768,YORK,Y,16,2004,2023
SE7769,YORK,Y,17,2008,2024
SE7774,YORK,Y,13,2005,2024
SE7839,YORK,Y,25,1995,2024
SE7862,YORK,Y,22,1994,2024
SE7961,YORK,Y,19,1994,2024
SE7970,YORK,N,17,1996,2022
SE7985,YKNE,Y,13,2012,2024
SE8034,YKHU,N,3,2006,2009
SE8118,LINN,N,16,2002,2017
SE8170,YKEA,Y,6,2003,2024
SE8185,YKNE,N,18,2004,2021
SE8247,YKEA,Y,8,2012,2019
SE8412,LINN,N,8,2006,2015
SE8434,YKHU,N,6,2006,2016
SE8439,YKHU,N,5,1996,2000
SE8568,YKEA,N,9,2009,2018
SE8595,YKNE,Y,19,2004,2024
SE8605,LINN,N,6,2004,2019
SE8650,YKEA,Y,13,2007,2024
SE8658,YKEA,Y,8,1996,2019
SE8674,YKEA,Y,8,2015,2024
SE8683,YKNE,Y,10,2014,2024
SE8705,LINN,N,14,2006,2019
SE8726,YKHU,N,23,1998,2022
SE8821,LINN,Y,20,2005,2024
SE8852,YKEA,N,4,2009,2012
SE8875,YKEA,Y,5,2018,2024
SE9040,YKEA,N,16,1996,2017
SE9057,YKEA,N,9,2007,2016
SE9123,LINN,Y,7,2012,2024
SE9256,YKEA,Y,19,1994,2024
SE9269,YKEA,N,12,2005,2016
SE9301,LINN,Y,15,2009,2024
SE9329,YKHU,Y,25,1997,2023
SE9338,YKHU,N,12,2005,2021
SE9357,YKEA,Y,7,2013,2019
SE9449,YKEA,N,4,2006,2018
SE9467,YKEA,Y,17,2007,2024
SE9549,YKEA,N,2,2006,2007
SE9614,LINN,Y,14,2006,2024
SE9697,YKNE,Y,29,1994,2024
SE9766,YKEA,N,1,2013,2013
SE9932,YKHU,Y,19,1994,2024
SE9953,YKEA,Y,18,1994,2024
SE9985,YKNE,N,3,2017,2019
SE9997,YKNE,Y,4,2021,2024
SH1730,CAER,Y,12,1998,2024
SH1826,CAER,Y,11,2006,2024
SH1926,CAER,Y,11,1999,2023
SH2182,ANGL,Y,13,1994,2023
SH2233,CAER,N,1,1998,1998
SH2533,CAER,N,5,1999,2005
SH2734,CAER,N,9,1999,2011
SH2777,ANGL,Y,23,1997,2024
SH2827,CAER,Y,17,1998,2022
SH2926,CAER,Y,10,2013,2023
SH2984,ANGL,N,11,2006,2019
SH3186,ANGL,N,13,1994,2019
SH3284,ANGL,N,4,2013,2016
SH3387,ANGL,N,1,1999,1999
SH3388,ANGL,N,1,2014,2014
SH3479,ANGL,Y,5,2017,2023
SH3536,CAER,N,2,2006,2007
SH3537,CAER,N,10,2006,2018
SH3539,CAER,N,13,2007,2019
SH3577,ANGL,N,1,2016,2016
SH3668,ANGL,Y,5,2019,2024
SH3693,ANGL,Y,6,2016,2023
SH3785,ANGL,Y,10,2014,2024
SH3791,ANGL,Y,17,1994,2019
SH3792,ANGL,N,10,1995,2019
SH3864,ANGL,Y,15,2007,2024
SH3875,ANGL,Y,12,2012,2024
SH3944,CAER,N,17,1997,2017
SH3983,ANGL,N,3,2018,2021
SH4078,ANGL,Y,4,2021,2024
SH4181,ANGL,Y,25,1994,2023
SH4242,CAER,Y,14,2003,2024
SH4246,CAER,Y,2,2018,2019
SH4247,CAER,Y,6,1994,2018
SH4353,CAER,Y,28,1994,2024
SH4364,ANGL,Y,21,1999,2024
SH4485,ANGL,N,10,1996,2019
SH4541,CAER,Y,13,2012,2024
SH4545,CAER,Y,19,2004,2023
SH4659,CAER,Y,13,2012,2024
SH4672,ANGL,Y,26,1994,2024
SH4675,ANGL,Y,23,1994,2024
SH4748,CAER,Y,4,2018,2023
SH4757,CAER,Y,26,1994,2024
SH4765,ANGL,Y,6,2018,2024
SH4782,ANGL,Y,7,2018,2024
SH4848,CAER,Y,8,2012,2021
SH4941,CAER,Y,16,2006,2024
SH4948,CAER,Y,5,2016,2021
SH5046,CAER,Y,1,2023,2023
SH5047,CAER,Y,1,2023,2023
SH5071,ANGL,Y,9,2004,2024
SH5265,CAER,Y,15,2009,2024
SH5280,ANGL,Y,21,1997,2023
SH5342,CAER,N,2,2010,2011
SH5343,CAER,Y,26,1994,2024
SH5355,CAER,Y,7,2018,2024
SH5446,CAER,N,1,2011,2011
SH5447,CAER,Y,17,1998,2023
SH5547,CAER,Y,10,2014,2024
SH5639,MERI,N,24,1994,2021
SH5674,ANGL,Y,21,1999,2024
SH5753,CAER,Y,13,2010,2024
SH5754,CAER,Y,17,2005,2024
SH5778,ANGL,Y,25,1994,2024
SH5860,CAER,Y,14,2010,2024
SH5861,CAER,Y,27,1994,2024
SH5945,CAER,Y,19,2002,2023
SH5954,CAER,N,5,2014,2018
SH5960,CAER,Y,3,2020,2023
SH6156,CAER,Y,18,2000,2024
SH6162,CAER,Y,10,2013,2023
SH6181,ANGL,Y,24,1994,2019
SH6226,MERI,N,15,1995,2019
SH6257,CAER,Y,26,1994,2024
SH6301,MERI,Y,14,2006,2024
SH6371,CAER,Y,6,2018,2024
SH6442,MERI,N,12,1994,2019
SH6508,MERI,Y,17,2006,2023
SH6555,CAER,Y,3,2021,2023
SH6623,MERI,N,17,1994,2022
SH6750,CAER,Y,5,2014,2019
SH6756,CAER,Y,22,1999,2023
SH6773,CAER,N,19,2000,2021
SH6930,MERI,N,23,1995,2019
SH7032,MERI,N,12,2002,2021
SH7051,CAER,Y,12,2012,2024
SH7055,CAER,Y,4,2018,2023
SH7072,CAER,Y,9,2012,2021
SH7073,CAER,Y,9,2012,2021
SH7112,MERI,Y,12,2003,2023
SH7143,MERI,N,1,1999,1999
SH7210,MERI,Y,28,1994,2023
SH7220,MERI,Y,3,2021,2023
SH7362,CAER,Y,5,2020,2024
SH7534,MERI,Y,4,2018,2024
SH7537,MERI,Y,19,1994,2024
SH7561,CAER,Y,24,1998,2023
SH7577,CAER,Y,6,2019,2024
SH7620,MERI,Y,13,2003,2024
SH7677,CAER,Y,29,1994,2024
SH8067,CLWW,Y,4,2013,2022
SH8359,CLWW,Y,12,2012,2024
SH8381,CAER,Y,10,2012,2024
SH8452,CLWW,N,10,2005,2019
SH8453,CLWW,Y,27,1994,2024
SH8457,CLWW,Y,1,2022,2022
SH8524,MERI,N,15,1995,2019
SH8551,CLWW,N,7,2012,2018
SH8574,CLWW,Y,24,1998,2023
SH8634,MERI,N,3,2019,2022
SH8664,CLWW,N,14,1994,2023
SH8906,MONT,Y,10,1999,2023
SH9173,CLWW,Y,17,1994,2024
SH9176,CLWW,Y,25,1994,2024
SH9364,CLWW,Y,16,1999,2024
SH9502,MONT,Y,15,1997,2023
SH9569,CLWW,Y,18,1994,2019
SH9644,CLWW,Y,24,1994,2024
SH9724,MONT,Y,21,1997,2023
SH9840,CLWW,Y,8,2014,2024
SH9850,CLWW,Y,5,2019,2024
SH9870,CLWW,N,2,2015,2016
SH9914,MONT,N,12,1994,2006
SJ0051,CLWW,N,2,2017,2018
SJ0063,CLWW,N,3,2013,2015
SJ0108,MONT,N,19,1994,2022
SJ0115,MONT,N,16,1994,2010
SJ0165,CLWW,Y,5,1999,2022
SJ0178,CLWW,Y,9,2014,2024
SJ0214,MONT,Y,10,1996,2024
SJ0237,MERI,N,1,2022,2022
SJ0252,CLWW,Y,12,2012,2024
SJ0368,CLWW,Y,2,2023,2024
SJ0478,CLWW,Y,13,1998,2018
SJ0522,MONT,N,15,1997,2022
SJ0561,CLWW,Y,5,2002,2015
SJ0651,CLWW,N,5,2002,2012
SJ0715,MONT,Y,16,1994,2024
SJ0724,MONT,Y,22,1996,2024
SJ0762,CLWW,N,8,2006,2016
SJ0805,MONT,Y,13,1994,2024
SJ0815,MONT,Y,22,1994,2024
SJ0820,MONT,N,13,1994,2018
SJ0877,CLWW,Y,12,2002,2024
SJ0882,CLWW,Y,25,1996,2024
SJ1046,CLWE,N,4,2010,2021
SJ1144,CLWE,Y,23,1999,2024
SJ1165,CLWE,N,8,1998,2010
SJ1167,CLWE,Y,9,2010,2024
SJ1168,CLWE,Y,18,2005,2024
SJ1261,CLWE,Y,20,1999,2024
SJ1283,CLWE,Y,9,2013,2023
SJ1284,CLWE,Y,19,1994,2023
SJ1338,CLWE,Y,11,2007,2021
SJ1345,CLWE,Y,10,1999,2022
SJ1359,CLWE,Y,21,2000,2024
SJ1439,CLWE,Y,4,2021,2024
SJ1441,CLWE,Y,12,2007,2022
SJ1451,CLWE,Y,8,2010,2019
SJ1470,CLWE,Y,11,2002,2022
SJ1522,CLWE,Y,12,2012,2024
SJ1562,CLWE,Y,18,2002,2024
SJ1572,CLWE,Y,22,1994,2024
SJ1673,CLWE,Y,17,1999,2024
SJ1754,CLWE,Y,18,2002,2024
SJ1833,CLWE,Y,11,2013,2024
SJ1843,CLWE,Y,8,2015,2022
SJ1851,CLWE,N,17,1994,2014
SJ1865,CLWE,Y,25,1998,2024
SJ1940,CLWE,Y,6,2016,2022
SJ1958,CLWE,Y,16,2007,2024
SJ1963,CLWE,Y,20,1998,2024
SJ2068,CLWE,Y,7,2017,2024
SJ2251,CLWE,N,2,2004,2016
SJ2265,CLWE,Y,10,2015,2024
SJ2365,CLWE,Y,29,1994,2024
SJ2388,WIRR,Y,22,1999,2022
SJ2389,WIRR,Y,10,1994,2016
SJ2441,CLWE,Y,22,2002,2024
SJ2451,CLWE,Y,12,2004,2024
SJ2459,CLWE,Y,9,2013,2023
SJ2464,CLWE,Y,22,1998,2024
SJ2483,WIRR,Y,15,1994,2023
SJ2531,SHRP,Y,26,1997,2024
SJ2542,CLWE,Y,13,2008,2024
SJ2546,CLWE,Y,5,2013,2018
SJ2547,CLWE,Y,21,1994,2018
SJ2654,CLWE,Y,8,2015,2024
SJ2661,CLWE,N,3,2017,2019
SJ2687,WIRR,Y,18,2006,2023
SJ2738,SHRP,Y,22,1997,2024
SJ2778,WIRR,Y,21,2003,2023
SJ2784,WIRR,Y,1,2017,2017
SJ2841,CLWE,N,7,2007,2017
SJ2863,CLWE,N,22,1998,2022
SJ2890,WIRR,Y,4,2014,2023
SJ2968,CLWE,Y,5,2017,2024
SJ2980,WIRR,Y,14,1994,2024
SJ3002,SHRP,Y,18,1997,2024
SJ3036,SHRP,Y,20,2003,2024
SJ3039,SHRP,Y,19,1997,2024
SJ3144,CLWE,Y,6,2016,2024
SJ3185,WIRR,Y,1,2022,2022
SJ3348,CLWE,Y,25,1998,2024
SJ3368,CLWE,Y,15,2003,2024
SJ3384,WIRR,Y,8,2017,2024
SJ3417,SHRP,Y,22,1994,2019
SJ3466,CLWE,Y,19,2005,2024
SJ3473,WIRR,Y,18,1994,2023
SJ3476,WIRR,Y,13,2012,2024
SJ3491,MERS,Y,8,1996,2024
SJ3506,SHRP,N,12,1997,2019
SJ3522,SHRP,Y,26,1997,2024
SJ3574,WIRR,N,24,1994,2020
SJ3589,MERS,Y,11,2002,2024
SJ3592,MERS,Y,2,2023,2024
SJ3599,MERS,Y,4,1996,2024
SJ3637,SHRP,Y,30,1994,2024
SJ3711,SHRP,Y,16,1997,2024
SJ3749,CLWE,Y,25,1998,2024
SJ3770,WIRR,Y,10,2006,2024
SJ3773,WIRR,N,26,1995,2022
SJ3868,CLWE,N,6,1998,2021
SJ3896,MERS,Y,8,1996,2024
SJ3919,SHRP,Y,23,1997,2023
SJ3922,SHRP,Y,27,1997,2024
SJ3939,SHRP,Y,16,1997,2022
SJ3988,MERS,N,9,2000,2008
SJ3994,MERS,Y,7,1996,2024
SJ4085,MERS,N,4,2006,2009
SJ4162,CHMI,Y,25,1998,2024
SJ4171,CHMI,Y,18,2006,2024
SJ4200,SHRP,Y,26,1997,2023
SJ4303,SHRP,Y,13,1999,2024
SJ4348,CHSS,Y,14,2006,2024
SJ4349,CHSS,Y,23,1994,2024
SJ4352,CHMI,Y,9,2005,2024
SJ4381,MERS,Y,17,1996,2024
SJ4385,MERS,Y,28,1996,2024
SJ4442,CHSS,Y,3,2013,2016
SJ4514,SHRP,N,14,1997,2024
SJ4520,SHRP,Y,9,2013,2024
SJ4530,SHRP,N,15,2005,2022
SJ4583,MERS,Y,1,2024,2024
SJ4606,SHRP,Y,27,1994,2024
SJ4624,SHRP,N,7,1997,2012
SJ4626,SHRP,N,16,1994,2022
SJ4654,CHMI,N,25,1994,2021
SJ4660,CHMI,Y,8,2012,2024
SJ4709,SHRP,Y,24,1994,2023
SJ4763,CHMI,Y,22,1994,2024
SJ4782,MERS,Y,23,1997,2022
SJ4848,CHSS,Y,3,2022,2024
SJ4868,CHMI,Y,24,1999,2024
SJ4886,MERS,N,15,1996,2016
SJ4923,SHRP,Y,22,1997,2023
SJ4943,CHSS,Y,22,1994,2024
SJ5054,CHSS,Y,28,1994,2024
SJ5058,CHSS,N,20,1998,2021
SJ5078,CHMI,Y,19,2005,2024
SJ5134,SHRP,Y,17,1995,2023
SJ5199,CHNE,Y,24,1996,2024
SJ5209,SHRP,Y,16,1997,2024
SJ5212,SHRP,N,2,2006,2008
SJ5254,CHSS,N,20,1998,2023
SJ5292,CHNE,Y,21,1994,2022
SJ5299,CHNE,Y,19,2006,2024
SJ5321,SHRP,Y,13,2007,2019
SJ5328,SHRP,Y,28,1994,2023
SJ5362,CHMI,Y,10,2003,2024
SJ5386,CHNE,Y,18,2005,2024
SJ5413,SHRP,N,28,1994,2024
SJ5442,CHSS,Y,19,2004,2022
SJ5447,CHSS,Y,5,2010,2024
SJ5534,SHRP,Y,11,1997,2022
SJ5566,CHMI,N,5,1999,2009
SJ5578,CHMI,Y,8,2007,2024
SJ5595,CHNE,Y,26,1994,2020
SJ5668,CHMI,Y,18,2005,2024
SJ5748,CHSS,Y,20,2002,2023
SJ5794,CHNE,Y,21,1996,2020
SJ5803,SHRP,Y,22,1998,2024
SJ5810,SHRP,N,9,1997,2008
SJ5816,SHRP,Y,22,1997,2024
SJ5866,CHMI,Y,19,2005,2024
SJ5879,CHMI,Y,18,1994,2024
SJ5897,CHNE,Y,24,1999,2024
SJ6009,SHRP,Y,12,2000,2023
SJ6085,CHNE,Y,28,1994,2023
SJ6092,MANC,N,5,2005,2017
SJ6152,CHSS,Y,18,1994,2015
SJ6153,CHSS,Y,17,1995,2015
SJ6158,CHSS,Y,15,1994,2024
SJ6206,SHRP,Y,29,1994,2024
SJ6226,SHRP,Y,16,2000,2019
SJ6242,CHSS,Y,12,1994,2021
SJ6286,CHNE,Y,24,1994,2023
SJ6295,MANC,Y,27,1994,2024
SJ6296,MANC,N,15,2007,2022
SJ6340,CHSS,Y,14,1999,2021
SJ6360,CHMI,N,8,2000,2009
